,USER,2022-06_ALLOCATIONS,2022-06_CURTAILMENT,2022-06_DEMAND,2022-06_SHORTAGE_%,BASIN,PRIORITY
510,S025401,0.32,0,0.32,0.0,R_01,3
36,A016086,0.00020219999999999998,0,0.0002022,0.0,R_02,218
39,A016381,0.00020219999999999998,0,0.0002022,0.0,R_02,227
49,A017271,0.00020219999999999998,0,0.0002022,0.0,R_02,254
53,A017871,0.00020219999999999998,0,0.0002022,0.0,R_02,264
92,A021569,0.01,0,0.01,0.0,R_02,323
93,A021570,0.005,0,0.005,0.0,R_02,324
143,A023670,0.00020219999999999998,0,0.0002022,0.0,R_02,412
176,A024173,0.00020219999999999998,0,0.0002022,0.0,R_02,458
203,A024946,0.00230175,0,0.00230175,0.0,R_02,524
210,A025019,0.00020219999999999998,0,0.0002022,0.0,R_02,540
213,A025070,0.5,0,0.5,0.0,R_02,547
215,A025201,0.00020219999999999998,0,0.0002022,0.0,R_02,553
253,A026769,0.00020219999999999998,0,0.0002022,0.0,R_02,605
255,A026938,0.335,0,0.335,0.0,R_02,607
269,A028116,1.33,0,1.33,0.0,R_02,629
294,A028824,1.165,0,1.165,0.0,R_02,655
320,A029995,0.00020219999999999998,0,0.0002022,0.0,R_02,700
324,A030560,0.00020219999999999998,0,0.0002022,0.0,R_02,716
325,A030564,0.00020219999999999998,0,0.0002022,0.0,R_02,717
339,A031461,0.00020219999999999998,0,0.0002022,0.0,R_02,784
355,C005834,0.00020219999999999998,0,0.0002022,0.0,R_02,726
382,D031376,0.00020219999999999998,0,0.0002022,0.0,R_02,765
394,D031592,0.00020219999999999998,0,0.0002022,0.0,R_02,793
416,D033025,0.00020219999999999998,0,0.0002022,0.0,R_02,864
431,H500832,0.00020219999999999998,0,0.0002022,0.0,R_02,853
434,H501505,0.00020219999999999998,0,0.0002022,0.0,R_02,856
461,L031457,0.00020219999999999998,0,0.0002022,0.0,R_02,785
464,L031582,0.00020219999999999998,0,0.0002022,0.0,R_02,791
482,S008714,0.00020219999999999998,0,0.0002022,0.0,R_02,18
511,S027894,0.00020219999999999998,0,0.0002022,0.0,R_02,13
9,A011383,1.33,0,1.33,0.0,R_02_MSRR,71
36,A013529,1.85,0,1.85,0.0,R_02_MSRR,99
37,A013557,0.00020219999999999998,0,0.0002022,0.0,R_02_MSRR,101
40,A013706,0.63,0,0.63,0.0,R_02_MSRR,107
80,A014259A,6.0,0,6.0,0.0,R_02_MSRR,150
141,A016472,0.00020219999999999998,0,0.0002022,0.0,R_02_MSRR,233
156,A017508,15.0,0,15.0,0.0,R_02_MSRR,256
161,A017881,2.97,0,2.97,0.0,R_02_MSRR,265
169,A019071,5.0,0,5.0,0.0,R_02_MSRR,283
192,A022378,3.45,0,3.45,0.0,R_02_MSRR,356
193,A022433,0.00020219999999999998,0,0.0002022,0.0,R_02_MSRR,359
205,A023213,30.0,0,30.0,0.0,R_02_MSRR,380
208,A023338,2.2,0,2.2,0.0,R_02_MSRR,388
209,A023339,0.825,0,0.825,0.0,R_02_MSRR,389
212,A023534A,0.215,0,0.215,0.0,R_02_MSRR,398
213,A023534B,3.33,0,3.33,0.0,R_02_MSRR,399
215,A023629,2.865,0,2.865,0.0,R_02_MSRR,406
218,A023700,0.00020219999999999998,0,0.0002022,0.0,R_02_MSRR,418
220,A023916,0.015,0,0.015,0.0,R_02_MSRR,435
230,A024163,0.375,0,0.375,0.0,R_02_MSRR,457
231,A024209A,4.415,0,4.415,0.0,R_02_MSRR,460
232,A024209B,10.58,0,10.58,0.0,R_02_MSRR,461
241,A024318,0.00020219999999999998,0,0.0002022,0.0,R_02_MSRR,470
244,A024571A,3.38,0,3.38,0.0,R_02_MSRR,485
245,A024571B,7.165,0,7.165,0.0,R_02_MSRR,486
274,A024995,0.00020219999999999998,0,0.0002022,0.0,R_02_MSRR,536
293,A026016,0.00020219999999999998,0,0.0002022,0.0,R_02_MSRR,583
294,A026470,0.00020219999999999998,0,0.0002022,0.0,R_02_MSRR,602
303,A028668,0.00020219999999999998,0,0.0002022,0.0,R_02_MSRR,648
344,L032271,2.615e-05,0,2.615e-05,0.0,R_02_MSRR,835
132,A023481,0.00020219999999999998,0,0.0002022,0.0,R_03,395
417,D033083,0.00020219999999999998,0,0.0002022,0.0,R_03,875
11,A012919A,0.00020219999999999998,0,0.0002022,0.0,R_03_MSRR,10000
12,A012919B,222.44,0,222.44,0.0,R_03_MSRR,76
269,A024955,0.00020219999999999998,0,0.0002022,0.0,R_03_MSRR,526
288,A025691,0.00020219999999999998,0,0.0002022,0.0,R_03_MSRR,566
29,A015187,0.015,0,0.015,0.0,R_04,184
50,A017642,0.00020219999999999998,0,0.0002022,0.0,R_04,261
63,A019135,0.000399,0,0.000399,0.0,R_04,284
86,A021345,0.00020219999999999998,0,0.0002022,0.0,R_04,315
104,A021939,0.00020219999999999998,0,0.0002022,0.0,R_04,344
113,A022426,0.00020219999999999998,0,0.0002022,0.0,R_04,357
142,A023663,0.00020219999999999998,0,0.0002022,0.0,R_04,409
185,A024457,0.00020219999999999998,0,0.0002022,0.0,R_04,481
192,A024691A,0.00020219999999999998,0,0.0002022,0.0,R_04,494
193,A024691B,0.00020219999999999998,0,0.0002022,0.0,R_04,495
201,A024898,0.00020219999999999998,0,0.0002022,0.0,R_04,516
214,A025123,0.00166667,0,0.0016666670000000001,0.0,R_04,550
239,A026111,0.00020219999999999998,0,0.0002022,0.0,R_04,590
257,A027075,0.00020219999999999998,0,0.0002022,0.0,R_04,609
306,A029338,0.00020219999999999998,0,0.0002022,0.0,R_04,670
333,A031171,0.00020219999999999998,0,0.0002022,0.0,R_04,755
334,A031183,0.00020219999999999998,0,0.0002022,0.0,R_04,757
384,D031410,0.00020219999999999998,0,0.0002022,0.0,R_04,767
408,D032143,0.00020219999999999998,0,0.0002022,0.0,R_04,826
436,H501586,0.00020219999999999998,0,0.0002022,0.0,R_04,857
439,H505765,0.00020219999999999998,0,0.0002022,0.0,R_04,865
458,L031422,0.00020219999999999998,0,0.0002022,0.0,R_04,833
459,L031423,0.00020219999999999998,0,0.0002022,0.0,R_04,780
460,L031424,0.00020219999999999998,0,0.0002022,0.0,R_04,798
466,L031607,0.015,0,0.015,0.0,R_04,797
470,L031908,0.00020219999999999998,0,0.0002022,0.0,R_04,811
495,S017157,0.00020219999999999998,0,0.0002022,0.0,R_04,47
496,S017160,0.00020219999999999998,0,0.0002022,0.0,R_04,36
0,A001983,0.00020219999999999998,0,0.0002022,0.0,R_04_MSRR,54
1,A003421,0.00020219999999999998,0,0.0002022,0.0,R_04_MSRR,57
3,A003601,2.16,0,2.16,0.0,R_04_MSRR,59
5,A004832,3.165,0,3.165,0.0,R_04_MSRR,62
13,A012958,9.215,0,9.215,0.0,R_04_MSRR,78
22,A013270,6.87,0,6.87,0.0,R_04_MSRR,88
28,A013287,1.4,0,1.4,0.0,R_04_MSRR,91
29,A013288,4.38,0,4.38,0.0,R_04_MSRR,92
56,A013973,0.39,0,0.39,0.0,R_04_MSRR,126
57,A013974,0.00020219999999999998,0,0.0002022,0.0,R_04_MSRR,127
74,A014160,0.00020219999999999998,0,0.0002022,0.0,R_04_MSRR,144
88,A014624,0.00020219999999999998,0,0.0002022,0.0,R_04_MSRR,159
97,A014916A,1.71,0,1.71,0.0,R_04_MSRR,175
98,A014916B,0.785,0,0.785,0.0,R_04_MSRR,176
102,A015158A,0.00020219999999999998,0,0.0002022,0.0,R_04_MSRR,181
103,A015158B,0.00020219999999999998,0,0.0002022,0.0,R_04_MSRR,182
104,A015168,0.29,0,0.29,0.0,R_04_MSRR,183
107,A015329A,0.00020219999999999998,0,0.0002022,0.0,R_04_MSRR,188
108,A015329B,0.00415,0,0.00415,0.0,R_04_MSRR,189
115,A015677,0.00020219999999999998,0,0.0002022,0.0,R_04_MSRR,199
116,A015678,0.00020219999999999998,0,0.0002022,0.0,R_04_MSRR,200
117,A015704,81.3,0,81.3,0.0,R_04_MSRR,201
129,A015796,0.00020219999999999998,0,0.0002022,0.0,R_04_MSRR,213
132,A016155,3.615,0,3.615,0.0,R_04_MSRR,220
140,A016416,0.00020219999999999998,0,0.0002022,0.0,R_04_MSRR,230
154,A017232,24.305,0,24.305,0.0,R_04_MSRR,252
157,A017587,33.11,0,33.11,0.0,R_04_MSRR,257
175,A021126,13.62,0,13.62,0.0,R_04_MSRR,310
181,A021838,1.8,0,1.8,0.0,R_04_MSRR,334
182,A021870,0.00020219999999999998,0,0.0002022,0.0,R_04_MSRR,335
189,A022005B,0.00020219999999999998,0,0.0002022,0.0,R_04_MSRR,348
190,A022208,2.79,0,2.79,0.0,R_04_MSRR,353
191,A022306,0.98,0,0.98,0.0,R_04_MSRR,355
197,A022815,1.8,0,1.8,0.0,R_04_MSRR,368
198,A022881,0.00020219999999999998,0,0.0002022,0.0,R_04_MSRR,369
199,A023035,0.00020219999999999998,0,0.0002022,0.0,R_04_MSRR,371
200,A023039,7.515,0,7.515,0.0,R_04_MSRR,372
201,A023040,6.105,0,6.105,0.0,R_04_MSRR,373
202,A023163,2.375,0,2.375,0.0,R_04_MSRR,377
219,A023817,0.00020219999999999998,0,0.0002022,0.0,R_04_MSRR,426
247,A024645,0.00020219999999999998,0,0.0002022,0.0,R_04_MSRR,491
254,A024820,1.45,0,1.45,0.0,R_04_MSRR,506
307,A029406,0.515,0,0.515,0.0,R_04_MSRR,675
315,A029591,0.00020219999999999998,0,0.0002022,0.0,R_04_MSRR,671
316,A029592,15.83,0,15.83,0.0,R_04_MSRR,672
318,A029723,0.00020219999999999998,0,0.0002022,0.0,R_04_MSRR,696
320,A030036,0.00020219999999999998,0,0.0002022,0.0,R_04_MSRR,701
343,H505997,0.00020219999999999998,0,0.0002022,0.0,R_04_MSRR,876
351,S015365,0.00020219999999999998,0,0.0002022,0.0,R_04_MSRR,5
355,S019766,5.25,0,5.25,0.0,R_04_MSRR,52
356,S019769,58.165,0,58.165,0.0,R_04_MSRR,53
8,A012232,0.00020219999999999998,0,0.0002022,0.0,R_05,73
56,A018200,0.00020219999999999998,0,0.0002022,0.0,R_05,273
82,A021106,2.1,0,2.1,0.0,R_05,308
127,A023326,0.00020219999999999998,0,0.0002022,0.0,R_05,386
153,A023794,0.00020219999999999998,0,0.0002022,0.0,R_05,424
157,A023839,0.00020219999999999998,0,0.0002022,0.0,R_05,429
158,A023840,0.00020219999999999998,0,0.0002022,0.0,R_05,430
161,A023880,0.00020219999999999998,0,0.0002022,0.0,R_05,432
170,A024053,0.00020219999999999998,0,0.0002022,0.0,R_05,448
175,A024139,0.00020219999999999998,0,0.0002022,0.0,R_05,454
183,A024409,0.00020219999999999998,0,0.0002022,0.0,R_05,479
198,A024807,0.075,0,0.075,0.0,R_05,505
212,A025052,0.0002685,0,0.0002685,0.0,R_05,546
310,A029479,0.00020219999999999998,0,0.0002022,0.0,R_05,683
312,A029512,0.00020219999999999998,0,0.0002022,0.0,R_05,681
336,A031383,0.00020219999999999998,0,0.0002022,0.0,R_05,769
338,A031447,0.00020219999999999998,0,0.0002022,0.0,R_05,783
342,C000222,0.00020219999999999998,0,0.0002022,0.0,R_05,542
343,C000223,0.00020219999999999998,0,0.0002022,0.0,R_05,543
379,D031098,0.00020219999999999998,0,0.0002022,0.0,R_05,753
403,D032041,0.00020219999999999998,0,0.0002022,0.0,R_05,831
409,D032187,0.00020219999999999998,0,0.0002022,0.0,R_05,844
422,H032345,0.00020219999999999998,0,0.0002022,0.0,R_05,841
440,H505809,0.00020219999999999998,0,0.0002022,0.0,R_05,867
467,L031669,0.00020219999999999998,0,0.0002022,0.0,R_05,803
481,S008380,0.24,0,0.24,0.0,R_05,38
4,A004308,1.345,0,1.345,0.0,R_05_MSRR,61
6,A006854,0.00020219999999999998,0,0.0002022,0.0,R_05_MSRR,66
7,A006855,1.235,0,1.235,0.0,R_05_MSRR,67
35,A013528,1.36,0,1.36,0.0,R_05_MSRR,98
76,A014206,0.375,0,0.375,0.0,R_05_MSRR,146
81,A014304,0.00020219999999999998,0,0.0002022,0.0,R_05_MSRR,151
87,A014539,2.1,0,2.1,0.0,R_05_MSRR,158
99,A014997A,2.565,0,2.565,0.0,R_05_MSRR,177
100,A014997B,0.2,0,0.2,0.0,R_05_MSRR,178
101,A015157,0.00020219999999999998,0,0.0002022,0.0,R_05_MSRR,180
118,A015721,12.215,0,12.215,0.0,R_05_MSRR,202
126,A015780,36.83,0,36.83,0.0,R_05_MSRR,210
127,A015781,0.00020219999999999998,0,0.0002022,0.0,R_05_MSRR,211
128,A015782,2.83,0,2.83,0.0,R_05_MSRR,212
134,A016308,0.545,0,0.545,0.0,R_05_MSRR,222
149,A016758,1.815,0,1.815,0.0,R_05_MSRR,241
155,A017366,0.205,0,0.205,0.0,R_05_MSRR,255
158,A017622,0.51,0,0.51,0.0,R_05_MSRR,258
159,A017624,16.93,0,16.93,0.0,R_05_MSRR,259
163,A017911A,4.75,0,4.75,0.0,R_05_MSRR,267
164,A017911B,2.43,0,2.43,0.0,R_05_MSRR,268
171,A020540,10.975,0,10.975,0.0,R_05_MSRR,293
174,A020662,4.675,0,4.675,0.0,R_05_MSRR,297
176,A021127,0.00020219999999999998,0,0.0002022,0.0,R_05_MSRR,311
194,A022692,0.15,0,0.15,0.0,R_05_MSRR,365
196,A022802,11.765,0,11.765,0.0,R_05_MSRR,367
211,A023446B,0.00020219999999999998,0,0.0002022,0.0,R_05_MSRR,393
216,A023664,2.14,0,2.14,0.0,R_05_MSRR,410
217,A023671,34.33,0,34.33,0.0,R_05_MSRR,413
223,A024013,0.00020219999999999998,0,0.0002022,0.0,R_05_MSRR,440
224,A024014,0.00020219999999999998,0,0.0002022,0.0,R_05_MSRR,441
228,A024140,0.00020219999999999998,0,0.0002022,0.0,R_05_MSRR,455
246,A024617,0.00020219999999999998,0,0.0002022,0.0,R_05_MSRR,490
