USER,BASIN,RIPARIAN,PRIORITY,2021-09_ALLOCATION,2021-09_DEMAND,2021-09_SHORTAGE,2108-09_%_SHORTAGE
A013163,L_24,N,62,0.00099,0.00099,0.0,0.0
A013221,L_27,N,63,0.00099,0.00099,0.0,0.0
A013256,L_25,N,64,0.00099,0.00099,0.0,0.0
A013261,L_18_MSRR,N,65,0.216667,0.21666666699999998,-3.3300000001901253e-07,-1.53692307464633e-06
A013267,L_17_MSRR,N,66,0.0,5.6333333329999995,5.6333333329999995,1.0
A013268,L_17_MSRR,N,67,0.0,0.00099,0.00099,1.0
A013269,L_24_LSR,N,68,0.00099,0.00099,0.0,0.0
A013301,L_25,N,69,3.3144,3.314398,-1.9999999998354667e-06,-6.034278320936311e-07
A013317,L_21_MSRR,N,70,13.0,13.0,0.0,0.0
A013330,L_26,N,71,0.00099,0.00099,0.0,0.0
A013359,L_16,N,72,0.0,2.733333333,2.733333333,1.0
A013376,L_24,N,73,0.00099,0.00099,0.0,0.0
A013384,L_18_MSRR,N,74,0.00099,0.00099,0.0,0.0
A013393,L_24_LSR,N,75,0.00099,0.00099,0.0,0.0
A013453,L_17_MSRR,N,76,0.0,10.7,10.7,1.0
A013527,L_27,N,77,0.00099,0.00099,0.0,0.0
A013539,L_27,N,78,0.00189267,0.0018926670000000002,-2.999999999721975e-09,-1.5850648844841564e-06
A013586,L_25,N,79,0.00099,0.00099,0.0,0.0
A013639,L_16_MSDC,N,80,0.0,1.076666667,1.076666667,1.0
A013684A,L_18_MSRR,N,81,0.00099,0.00099,0.0,0.0
A013684B,L_17_MSRR,N,82,0.0,0.59,0.59,1.0
A013890,L_16_MSDC,N,83,0.0,0.00099,0.00099,1.0
A013914,L_15_MSDC,N,84,0.0,0.00099,0.00099,1.0
A013958,L_23,N,85,0.00099,0.00099,0.0,0.0
A013975,L_27,N,86,0.00099,0.00099,0.0,0.0
A013988,L_15_MSDC,N,87,0.0,0.24833333300000002,0.24833333300000002,1.0
A014043,L_14_MSDC,N,88,0.0,12.0,12.0,1.0
A014050A,L_17_MSRR,N,93,0.0,0.00099,0.00099,1.0
A014050B,L_17_MSRR,N,89,0.0,0.03,0.03,1.0
A014054,L_15_MSDC,N,90,0.0,0.182995,0.182995,1.0
A014055,L_15_MSDC,N,91,0.0,5.0,5.0,1.0
A014056,L_15_MSDC,N,92,0.0,0.00099,0.00099,1.0
A014061,L_17_MSRR,N,94,0.0,1.190066667,1.190066667,1.0
A014064,L_15_MSDC,N,95,0.0,3.31,3.31,1.0
A014066,L_15_MSDC,N,96,0.0,3.985861753,3.985861753,1.0
A014067,L_15_MSDC,N,97,0.0,5.611396431,5.611396431,1.0
A014068,L_16_MSDC,N,98,0.0,31.84666667,31.84666667,1.0
A014092,L_27,N,99,0.00099,0.00099,0.0,0.0
A014107,L_23,N,100,0.00099,0.00099,0.0,0.0
A014136,L_14_MSDC,N,101,0.0,1.187940333,1.187940333,1.0
A014178,L_18_MSRR,N,102,0.00099,0.00099,0.0,0.0
A014208,L_17_MSRR,N,103,0.0,0.00099,0.00099,1.0
A014301,L_24,N,104,0.00099,0.00099,0.0,0.0
A014333,L_17_MSRR,N,105,0.0,3.633333333,3.633333333,1.0
A014364,L_23,N,106,0.00099,0.00099,0.0,0.0
A014379,L_24,N,107,0.00099,0.00099,0.0,0.0
A014513,L_17,N,108,0.0,0.00099,0.00099,1.0
A014604,L_18_MSRR,N,109,0.00099,0.00099,0.0,0.0
A014747,L_17_MSRR,N,110,0.0,0.5,0.5,1.0
A014762,L_17_MSRR,N,111,0.0,0.00099,0.00099,1.0
A014767,L_27,N,112,0.00099,0.00099,0.0,0.0
A014797,L_27,N,113,0.00099,0.00099,0.0,0.0
A014870,L_24,N,114,0.00099,0.00099,0.0,0.0
A014925,L_17_MSRR,N,115,0.0,1.333333333,1.333333333,1.0
A014942,L_17_MSRR,N,116,0.0,0.00099,0.00099,1.0
A014966,L_26,N,117,0.00099,0.00099,0.0,0.0
A015194,L_23,N,118,0.00099,0.00099,0.0,0.0
A015237,L_17,N,119,0.0,0.00099,0.00099,1.0
A015299,L_16,N,120,0.0,0.00099,0.00099,1.0
A015348,L_15_MSDC,N,121,0.0,2.5,2.5,1.0
