USER,BASIN,PRIORITY,app_allocations,app_demand,app_shortage,app_shortage_%
A014870,L_24,114,0.0,0.00099,0.00099,1.0
A014925,L_17_MSRR,115,0.0,4.566666667,4.566666667,1.0
A014942,L_17_MSRR,116,0.0,0.00099,0.00099,1.0
A014966,L_26,117,0.00099,0.00099,0.0,0.0
A015194,L_23,118,0.0,0.00099,0.00099,1.0
A015237,L_17,119,0.0,0.00099,0.00099,1.0
A015299,L_16,120,0.0,0.00099,0.00099,1.0
A015348,L_15_MSDC,121,0.0,3.166666667,3.166666667,1.0
A015515,L_23,122,0.0,0.00099,0.00099,1.0
A015603,L_23,123,0.0,0.00099,0.00099,1.0
A015624,L_16,124,0.0,0.00099,0.00099,1.0
A015685,L_25,125,0.00099,0.00099,0.0,0.0
A015720,L_24,126,0.0,0.00099,0.00099,1.0
A015724,L_24_LSR,127,0.00099,0.00099,0.0,0.0
A015759,L_16_MSDC,128,0.0,2.154532333,2.154532333,1.0
A015760,L_16_MSDC,129,0.0,1.778779,1.778779,1.0
A015894,L_21,130,0.00099,0.00099,0.0,0.0
A015947,L_16,131,0.0,0.00099,0.00099,1.0
A016106,L_23,132,0.0,0.00099,0.00099,1.0
A016190,L_27,133,0.00099,0.00099,0.0,0.0
A016218,L_15,134,0.0,0.00099,0.00099,1.0
A016440,L_17_MSRR,135,0.0,0.00099,0.00099,1.0
A016457,L_17_MSRR,136,0.0,0.00099,0.00099,1.0
A016478,L_27,137,0.00099,0.00099,0.0,0.0
A016524,L_15_MSDC,138,0.0,3.583333333,3.583333333,1.0
A016527,L_27,139,0.00099,0.00099,0.0,0.0
A016545,L_20,140,0.00099,0.00099,0.0,0.0
A016777,L_15_MSDC,141,0.0,0.051199,0.051199,1.0
A016904,L_27,142,0.00099,0.00099,0.0,0.0
A017056,L_15_MSDC,143,0.0,3.0333333330000003,3.0333333330000003,1.0
A017081,L_24_LSR,144,0.00099,0.00099,0.0,0.0
A017098,L_16,145,0.0,0.00099,0.00099,1.0
A017237,L_16,146,0.0,0.00099,0.00099,1.0
A017263,L_16,147,0.0,0.333333333,0.333333333,1.0
A017477,L_23,148,0.0,0.00099,0.00099,1.0
A017479,L_16,149,0.0,0.00099,0.00099,1.0
A017551,L_16_MSDC,150,0.0,0.00099,0.00099,1.0
A017689,L_15,151,0.0,1.5644790000000002,1.5644790000000002,1.0
A017795,L_14,152,0.0,0.00099,0.00099,1.0
A017833,L_16,153,0.0,0.00099,0.00099,1.0
A017919,L_28,154,0.00099,0.00099,0.0,0.0
A017999,L_23,155,0.0,0.00099,0.00099,1.0
A018127,L_16,156,0.0,0.00099,0.00099,1.0
A018192,L_24,157,0.0,0.00099,0.00099,1.0
A018235,L_15,158,0.0,0.00099,0.00099,1.0
A018277,L_27,159,0.00099,0.00099,0.0,0.0
A018522,L_18,160,0.00099,0.00099,0.0,0.0
A018736,L_21,161,0.00099,0.00099,0.0,0.0
A018849,L_24,162,0.0,0.066666667,0.066666667,1.0
A018958,L_27,163,0.00099,0.00099,0.0,0.0
A018963,L_27,164,0.00099,0.00099,0.0,0.0
A019013,L_28,165,0.00099,0.00099,0.0,0.0
A019089,L_16,166,0.0,0.00099,0.00099,1.0
A019241,L_16,167,0.0,0.00099,0.00099,1.0
A019351,L_17_MSRR,168,0.0,0.00099,0.00099,1.0
A019422,L_27,169,0.00099,0.00099,0.0,0.0
A019444,L_23,170,0.0,0.00099,0.00099,1.0
A019470,L_21_MSRR,171,0.35775,0.357750489,4.889999999924122e-07,1.366874441903033e-06
A019515,L_21,172,0.00099,0.00099,0.0,0.0
A019554,L_16,173,0.0,0.00099,0.00099,1.0
A019557,L_23,174,0.0,0.00099,0.00099,1.0
A019649,L_14,175,0.0,0.00099,0.00099,1.0
A019652,L_28,176,0.666667,0.666666667,-3.3300000001901253e-07,-4.994999997787688e-07
A019720,L_16,177,0.0,0.00099,0.00099,1.0
A019798,L_23,178,0.0,0.00099,0.00099,1.0
A019806,L_26,179,0.00099,0.00099,0.0,0.0
A019891,L_23,180,0.0,0.00099,0.00099,1.0
A020005,L_16,181,0.0,0.00099,0.00099,1.0
A020015,L_16,182,0.0,0.00099,0.00099,1.0
A020071,L_23,183,0.0,0.00099,0.00099,1.0
A020078,L_23,184,0.0,0.00099,0.00099,1.0
A020114,L_16,185,0.0,0.00099,0.00099,1.0
A020127,L_27,186,0.00099,0.00099,0.0,0.0
A020129,L_14,187,0.0,0.00099,0.00099,1.0
A020134,L_21,188,0.0469,0.0469,0.0,0.0
A020147,L_25,189,0.00099,0.00099,0.0,0.0
A020261,L_20,190,0.00099,0.00099,0.0,0.0
A020264,L_17,191,0.0,0.00099,0.00099,1.0
A020384,L_21,192,0.00099,0.00099,0.0,0.0
A020401,L_23,193,0.0,0.00099,0.00099,1.0
A020435,L_24,194,0.0,0.00099,0.00099,1.0
A020491,L_25,195,0.00099,0.00099,0.0,0.0
A020493,L_16,196,0.0,0.00099,0.00099,1.0
A020509,L_23,249,0.0,0.00099,0.00099,1.0
A020557,L_17,197,0.0,0.00099,0.00099,1.0
A020573,L_15_MSDC,198,0.0,0.00099,0.00099,1.0
A020583,L_16_MSDC,199,0.0,0.00099,0.00099,1.0
A020584,L_20,200,0.00099,0.00099,0.0,0.0
A020634,L_23,201,0.0,0.283333333,0.283333333,1.0
A020728,L_16,202,0.0,0.00099,0.00099,1.0
