USER,BASIN,PRIORITY,WATER_RIGHT_TYPE,RIPARIAN,NULL_DEMAND,MAY_SEPT_ZERO_DEMAND,2021-05,2021-06,2021-07,2021-08,2021-09
A023077,L_16,254,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A023094,L_16,255,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A023165,L_16_MSDC,258,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A023328,L_27,260,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A023540,L_16_MSDC,261,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A023639,L_17_MSRR,262,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A023655,L_17_MSRR,263,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A023766,L_16_MSDC,264,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A023915,L_24,265,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A023998,L_23,287,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A024004,L_27,266,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A024223,L_16,267,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A024247,L_27,268,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A024268B,L_17_MSRR,270,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A024270A,L_17_MSRR,271,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A024270B,L_17_MSRR,272,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A024271A,L_24_LSR,273,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A024271B,L_24_LSR,274,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A024300A,L_14,275,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A024301,L_24,276,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A024412,L_25,277,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A024544,L_16,278,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
