USER,BASIN,RIPARIAN,PRIORITY,2021-09_ALLOCATION,2021-09_DEMAND,2021-09_SHORTAGE,2108-09_%_SHORTAGE
A017833,L_16,N,153,0,0,0,100%
A018127,L_16,N,156,0,0,0,100%
A018235,L_15,N,158,0,0,0,100%
A019089,L_16,N,166,0,0,0,100%
A019241,L_16,N,167,0,0,0,100%
A019351,L_17_MSRR,N,168,0,0,0,100%
A019554,L_16,N,173,0,0,0,100%
A019649,L_14,N,175,0,0,0,100%
A019720,L_16,N,177,0,0,0,100%
A020005,L_16,N,181,0,0,0,100%
A020015,L_16,N,182,0,0,0,100%
A020114,L_16,N,185,0,0,0,100%
A020129,L_14,N,187,0,0,0,100%
A020264,L_17,N,191,0,0,0,100%
A020493,L_16,N,196,0,0,0,100%
A020557,L_17,N,197,0,0,0,100%
A020573,L_15_MSDC,N,198,0,0,0,100%
A020583,L_16_MSDC,N,199,0,0,0,100%
A020728,L_16,N,202,0,0,0,100%
A020733,L_16,N,203,0,0,0,100%
A020769,L_17,N,204,0,0,0,100%
A020788,L_17,N,205,0,0,0,100%
A020951,L_16,N,209,0,0,0,100%
A020979,L_17,N,210,0,0,0,100%
A021052,L_16,N,212,0,0,0,100%
A021191,L_16,N,216,0,0.417,0.42,100%
A021210,L_16,N,217,0,0.004603333,0,100%
A021360,L_16_MSDC,N,220,0,0.299333333,0.3,100%
A021660,L_17_MSRR,N,222,0,1.386360333,1.39,100%
A021886,L_15_MSDC,N,225,0,0,0,100%
A022090,L_15,N,229,0,0,0,100%
A022141,L_15,N,230,0,0,0,100%
A022151,L_16,N,231,0,0,0,100%
A022237,L_15,N,232,0,0,0,100%
A022273,L_16_MSDC,N,233,0,0,0,100%
A022359,L_15_MSDC,N,236,0,3,3,100%
A022496,L_14,N,238,0,0,0,100%
A022661,L_14_MSDC,N,242,0,0,0,100%
A022807,L_14_MSDC,N,246,0,0,0,100%
A022929,L_14_MSDC,N,248,0,0,0,100%
A022962,L_14,N,250,0,0.2,0.2,100%
A023067,L_14_MSDC,N,253,0,3.5,3.5,100%
A023077,L_16,N,254,0,0,0,100%
A023094,L_16,N,255,0,0,0,100%
A022608,L_17_MSRR,N,257,0,0,0,100%
A023165,L_16_MSDC,N,258,0,0,0,100%
A023173,L_15,N,259,0,0,0,100%
A023540,L_16_MSDC,N,261,0,0,0,100%
A023639,L_17_MSRR,N,262,0,0,0,100%
A023655,L_17_MSRR,N,263,0,0,0,100%
A023766,L_16_MSDC,N,264,0,0,0,100%
A024223,L_16,N,267,0,0,0,100%
A024268A,L_17_MSRR,N,269,0,8.466666667,8.47,100%
A024268B,L_17_MSRR,N,270,0,0,0,100%
A024270A,L_17_MSRR,N,271,0,0,0,100%
A024270B,L_17_MSRR,N,272,0,0,0,100%
