USER,BASIN,PRIORITY,WATER_RIGHT_TYPE,RIPARIAN,NULL_DEMAND,MAY_SEPT_ZERO_DEMAND,2021-05,2021-06,2021-07,2021-08,2021-09,2021-11
S014058,L_16,10000000,Statement of Div and Use,Y,N,N,0.00099,0.766666667,0.866666667,1.366666667,1.633333333,0.00099
S016039,L_16_MSDC,10000000,Statement of Div and Use,Y,N,N,0.005,0.0005,0.00099,0.00099,0.00099,0.00099
S014924,L_16_MSDC,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S016051,L_16_MSDC,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.103333333
S016052,L_16_MSDC,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S016055,L_16_MSDC,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.016372333
S016058,L_16_MSDC,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.007190333
S016062,L_16_MSDC,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S016065,L_16_MSDC,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.000261
S018640,L_16_MSDC,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S022288,L_16_MSDC,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.5
S024513,L_16_MSDC,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S025042,L_16_MSDC,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.002601333
S024511,L_16_MSDC,10000000,Statement of Div and Use,Y,N,N,0.00099,0.017,0.039,0.025,0.00099,0.00099
S016066,L_16_MSDC,10000000,Statement of Div and Use,Y,N,N,0.00099,0.030333333,0.039333333,0.034,0.015,0.00099
S022598,L_16_MSDC,10000000,Statement of Div and Use,Y,N,N,0.083333333,0.19,1.05,0.36,0.066666667,0.00099
S016032,L_16_MSDC,10000000,Statement of Div and Use,Y,N,N,0.081861667,0.081861667,0.081861667,0.081861667,0.081861667,0.322304667
S015944,L_16_MSDC,10000000,Statement of Div and Use,Y,N,N,0.00099,0.1,5.366666667,1.033333333,0.1,0.00099
S016068,L_16_MSDC,10000000,Statement of Div and Use,Y,N,N,1.32422,0.185153,1.670381,1.185725,0.113446667,0.00099
S018213,L_16_MSDC,10000000,Statement of Div and Use,Y,N,N,0.426666667,0.94,0.843333333,0.503333333,0.183333333,0.00099
S018216,L_16_MSDC,10000000,Statement of Div and Use,Y,N,N,0.516666667,0.603333333,0.816666667,0.343333333,0.206666667,0.047211667
S024512,L_16_MSDC,10000000,Statement of Div and Use,Y,N,N,1.087568333,0.268841667,1.214082667,1.428071333,0.233702333,0.00099
S016061,L_16_MSDC,10000000,Statement of Div and Use,Y,N,N,0.088666667,0.214409,0.25843,0.241121667,0.246472667,0.00099
S022463,L_16_MSDC,10000000,Statement of Div and Use,Y,N,N,0.322,1.22,2.19,1.68,0.267,0.00099
S016053,L_16_MSDC,10000000,Statement of Div and Use,Y,N,N,0.073333333,0.267250667,0.504323,0.958889,0.343327,0.00099
