USER,2022-08_ALLOCATIONS,2022-08_CURTAILMENT,2022-08_DEMAND,2022-08_SHORTAGE_%,BASIN,PRIORITY
A031620,0.0002022,0,0.0002022,0,R_27,342.0
A031719,0.0,1,0.0002022,100.0,R_24,346.0
A031737,0.0002022,0,0.0002022,0,R_27,347.0
A032372,0.0002022,0,0.0002022,0,R_21,359.0
C000028,0.0002022,0,0.0002022,0,R_27,238.0
C000511,0.0002022,0,0.0002022,0,R_21,246.0
C000512,0.0002022,0,0.0002022,0,R_21,245.0
C001166,0.0002022,0,0.0002022,0,R_28,249.0
C001216,0.0,1,0.0002022,100.0,R_23,250.0
C003979,0.0002022,0,0.0002022,0,R_17,314.0
C003981,0.0,1,0.0002022,100.0,R_16,315.0
D029507,0.0,1,0.0002022,100.0,R_16,302.0
D029831,0.0,1,0.0002022,100.0,R_16,331.0
D029862,0.0,1,0.0002022,100.0,R_15,313.0
D030095,0.0,1,0.0002022,100.0,R_15,317.0
D030256,2.022e-05,0,2.022e-05,0,R_21,322.0
D030353,0.0002022,0,0.0002022,0,R_18,323.0
D030460,0.0002022,0,0.0002022,0,R_21,324.0
D030741,0.0002022,0,0.0002022,0,R_19,326.0
D030758,0.0,1,0.0002022,100.0,R_16,328.0
D031111,0.0002022,0,0.0002022,0,R_22,330.0
D031267,0.0,1,0.0002022,100.0,R_16,332.0
D031331,0.0002022,0,0.0002022,0,R_28,334.0
D031555,0.0002022,0,0.0002022,0,R_18,338.0
D031569,0.0,1,0.0002022,100.0,R_16,340.0
D031602,0.0,1,0.0002022,100.0,R_24,341.0
D031651,0.0002022,0,0.0002022,0,R_18,343.0
D031671,0.0,1,0.0002022,100.0,R_24,344.0
D031681,0.0,1,0.0002022,100.0,R_15,345.0
D031803,0.0,1,0.0002022,100.0,R_15,349.0
D032058,0.0,1,0.0002022,100.0,R_16,350.0
D032062,0.0,1,0.0002022,100.0,R_24,351.0
D032138,0.0,1,0.0002022,100.0,R_23,352.0
D032149,0.0,1,0.0002022,100.0,R_24,353.0
D032166,0.0,1,0.0002022,100.0,R_24,354.0
D032188,0.0,1,0.0002022,100.0,R_24,363.0
D032229,0.0002022,0,0.0002022,0,R_21,355.0
D032275,0.0002022,0,0.0002022,0,R_18,356.0
D032320,0.00363167,0,0.0036316670000000003,0,R_20,357.0
D032464,0.0002022,0,0.0002022,0,R_18,360.0
D032534,0.0,1,0.04281,100.0,R_16,361.0
D032713,0.0002022,0,0.0002022,0,R_18,364.0
D032725,0.0,1,0.0002022,100.0,R_16,365.0
D032768,0.0002022,0,0.0002022,0,R_21,362.0
D032787,0.0157375,0,0.0157375,0,R_20,367.0
D032850,0.0,1,0.0002022,100.0,R_23,368.0
H032335,0.0002022,0,0.0002022,0,R_22,358.0
H501475,0.0002022,0,0.0002022,0,R_20,371.0
H501560,0.0230165,0,0.0230165,0,R_20,369.0
H501640,0.0002022,0,0.0002022,0,R_27,370.0
H504162,0.0002022,0,0.0002022,0,R_20,373.0
H506517,0.0,1,0.0002022,100.0,R_24,374.0
H508968,2.022e-05,0,2.022e-05,0,R_22,376.0
H509254,2.022e-05,0,2.022e-05,0,R_22,375.0
L031802,0.0002022,0,0.0002022,0,R_14,348.0
L032735,0.0,1,0.0002022,100.0,R_16,366.0
L032966,2.022e-05,0,2.022e-05,0,R_27,372.0
S000113,0.0913303,0,0.09133033300000001,0,R_22,21.0
S000114,0.0913303,0,0.09133033300000001,0,R_22,22.0
S000115,0.0570817,0,0.057081667,0,R_22,23.0
S000116,0.0456653,0,0.045665332999999995,0,R_22,24.0
S004345,1.33,0,1.33,0,R_15_M,1.0
S004711,0.0002022,0,0.0002022,0,R_27,4.0
S008709,2.022e-05,0,2.022e-05,0,R_18,10.0
S009040,0.166667,0,0.166666667,0,R_16,19.0
S009045,2.022e-05,0,2.022e-05,0,R_16,3.0
S009073,0.839867,0,0.839867,0,R_21,16.0
S009299,0.0,1,2.022e-05,100.0,R_24,9.0
S010034,0.0,1,0.233333333,100.0,R_24,12.0
S015825,0.0,1,0.06,100.0,R_24,13.0
S024229,1.25,0,1.25,0,R_20,6.0
S025243,0.232637,0,0.232636667,0,R_18,2.0
S025594,0.00273,0,0.0027300000000000002,0,R_18,14.0
S025690,2.5,0,2.5,0,R_18,11.0
S025784,0.002044,0,0.0020440000000000002,0,R_21,25.0
S025957,0.0612855,0,0.0612855,0,R_21,15.0
S027251,0.5,0,0.5,0,R_16,18.0
S027648,0.0002022,0,0.0002022,0,R_18,5.0
S027791,0.0002022,0,0.0002022,0,R_18,20.0
S027799,0.06,0,0.06,0,R_16,17.0
S028299,2.022e-05,0,2.022e-05,0,R_20,8.0
S028355,0.6117,0,0.6116998260000001,0,R_20,7.0
