USER,RIPARIAN,BASIN,MAINSTEM,UPPER_RUSSIAN,PRIORITY,PRIORITY_CLASS,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,NULL_DEMAND,ZERO_DEMAND,MAY_SEPT_ZERO_DEMAND
D032464,N,R_18,N,N,444.0,1991-PRESENT,0.0002022,0.0002022,0.01,0.0002022,0.01,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.01,0.009207,N,N,N
D032713,N,R_18,N,N,448.0,1991-PRESENT,0.02,0.02,0.02,0.02,0.02,0.02,0.0002022,0.0002022,0.0002022,0.02,0.02,0.02,N,N,N
S008709,N,R_18,N,N,14.0,PRE-1914,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,Y,N,N
S025243,N,R_18,N,N,5.0,PRE-1914,0.01,0.03,0.02,0.03,0.07,0.11,0.21,0.23,0.23,0.15,0.04,0.01,N,N,N
S025594,N,R_18,N,N,17.0,PRE-1914,0.0002022,0.0002022,0.0027300000000000002,0.0027300000000000002,0.0027300000000000002,0.0027300000000000002,0.0027300000000000002,0.0027300000000000002,0.0027300000000000002,0.0027300000000000002,0.0027300000000000002,0.0002022,N,N,N
S025690,N,R_18,N,N,18.0,PRE-1914,0.0002022,0.0002022,1.5,3.5,2.5,2.5,2.0,2.5,2.0,1.0,0.0002022,0.0002022,N,N,N
S027648,N,R_18,N,N,9.0,PRE-1914,0.06,0.07,0.07,0.06,0.05,0.0002022,0.0002022,0.0002022,0.0002022,0.03,0.06,0.06,N,N,N
S027791,N,R_18,N,N,27.0,PRE-1914,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A007006,N,R_19,N,N,36.0,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A009746,N,R_19,N,N,37.0,PRE-1949+1949,0.009207,0.009207,0.009207,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.009207,0.009207,N,N,N
A009992,N,R_19,N,N,39.0,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A021015,N,R_19,N,N,209.0,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A028365,N,R_19,N,N,361.0,1971-1990,0.09,0.85,0.75,0.19,0.02,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.72,0.42,N,N,N
D030741,N,R_19,N,N,407.0,1991-PRESENT,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A009774,N,R_20,N,N,38.0,PRE-1949+1949,0.0036829999999999996,0.0036829999999999996,0.0036829999999999996,0.0036829999999999996,0.0036829999999999996,0.004603,0.004603,0.004603,0.004603,0.004296333,0.0036829999999999996,0.0036829999999999996,N,N,N
A016545,N,R_20,N,N,139.0,1955-1956,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A020261,N,R_20,N,N,189.0,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A020584,N,R_20,N,N,199.0,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A024884,N,R_20,N,N,295.0,1971-1990,0.009206664,0.009206664,0.009206664,0.009206664,0.11,0.11,0.11,0.11,0.11,0.11,0.009206664,0.009206664,N,N,N
D032320,N,R_20,N,N,441.0,1991-PRESENT,0.007467667,0.0074673330000000005,0.01,0.01,0.01,0.01,0.008204000000000001,0.0036316670000000003,0.003759667,0.01,0.01,0.009288666999999999,N,N,N
D032787,N,R_20,N,N,451.0,1991-PRESENT,0.0002022,0.0002022,0.06,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.0099065,0.008209000000000001,N,N,N
H501475,N,R_20,N,N,456.0,1991-PRESENT,0.03,0.03,0.03,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.03,0.03,N,N,Y
H501560,N,R_20,N,N,454.0,1991-PRESENT,0.00092072,0.00076728,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.0012275,0.002915499,0.00145772,N,N,N
H504162,N,R_20,N,N,458.0,1991-PRESENT,0.03,0.03,0.04,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.01,0.01,N,N,Y
